# All infantry equipment

equipments = {

	infantry_equipment = {
		year = 2266
	
		is_archetype = yes
		picture = archetype_infantry_equipment		
		is_buildable = no
		type = infantry
		group_by = archetype
		
		interface_category = interface_category_land
		
		active = yes
		
		#Misc Abilities
		reliability = 0.9
		maximum_speed = 4

		#Defensive Abilities
		defense = 20
		breakthrough = 2
		hardness = 0
		armor_value = 0

		#Offensive Abilities
		soft_attack = 3
		hard_attack = 0.5
		ap_attack = 1
		air_attack = 0

		#Space taken in convoy
		lend_lease_cost = 1
		
		build_cost_ic = 0.43
		resources = {
			salvage = 2
		}
		
	}

	basic_infantry_equipment_1 = {
		year = 2266
	
		archetype = infantry_equipment
		active = yes
		priority = 05
		visual_level = 0
	}

	basic_infantry_equipment_2 = {
		year = 2266
	
		archetype = infantry_equipment
		parent = basic_infantry_equipment_1
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 22
		breakthrough = 3

		#Offensive Abilities
		soft_attack = 6
		hard_attack = 1
		ap_attack = 4
		air_attack = 0

		build_cost_ic = 0.50
	}

	plasma_infantry_equipment_1 = {
		year = 2266
	
		archetype = infantry_equipment
		parent = basic_infantry_equipment_2
		priority = 10
		visual_level = 2
		
		#Defensive Abilities
		defense = 28
		breakthrough = 4

		#Offensive Abilities
		soft_attack = 9
		hard_attack = 1.5
		ap_attack = 5
		air_attack = 0
		
		build_cost_ic = 0.58
		resources = {
			salvage = 3
		}
		
	}
	plasma_infantry_equipment_2 = {
		year = 2266
	
		archetype = infantry_equipment
		parent = plasma_infantry_equipment_1
		priority = 10
		visual_level = 2
		
		#Defensive Abilities
		defense = 28
		breakthrough = 4

		#Offensive Abilities
		soft_attack = 9
		hard_attack = 1.5
		ap_attack = 5
		air_attack = 0
		
		build_cost_ic = 0.58
		resources = {
			salvage = 3
		}
		
	}
	plasma_infantry_equipment_3 = {
		year = 2266
	
		archetype = infantry_equipment
		parent = plasma_infantry_equipment_2
		priority = 10
		visual_level = 2
		
		#Defensive Abilities
		defense = 28
		breakthrough = 4

		#Offensive Abilities
		soft_attack = 9
		hard_attack = 1.5
		ap_attack = 5
		air_attack = 0
		
		build_cost_ic = 0.58
		resources = {
			salvage = 3
		}
		
	}
	plasma_infantry_equipment_4 = {
		year = 2266
	
		archetype = infantry_equipment
		parent = plasma_infantry_equipment_3
		priority = 10
		visual_level = 2
		
		#Defensive Abilities
		defense = 28
		breakthrough = 4

		#Offensive Abilities
		soft_attack = 9
		hard_attack = 1.5
		ap_attack = 5
		air_attack = 0
		
		build_cost_ic = 0.58
		resources = {
			salvage = 3
		}
		
	}
	ballistic_infantry_equipment_1 = {
		year = 2266
	
		archetype = infantry_equipment
		parent = basic_infantry_equipment_2
		priority = 10
		visual_level = 2
		
		#Defensive Abilities
		defense = 28
		breakthrough = 4

		#Offensive Abilities
		soft_attack = 9
		hard_attack = 1.5
		ap_attack = 5
		air_attack = 0
		
		build_cost_ic = 0.58
		resources = {
			salvage = 3
		}
		
	}
	ballistic_infantry_equipment_2 = {
		year = 2266
	
		archetype = infantry_equipment
		parent = ballistic_infantry_equipment_1
		priority = 10
		visual_level = 2
		
		#Defensive Abilities
		defense = 28
		breakthrough = 4

		#Offensive Abilities
		soft_attack = 9
		hard_attack = 1.5
		ap_attack = 5
		air_attack = 0
		
		build_cost_ic = 0.58
		resources = {
			salvage = 3
		}
		
	}
	ballistic_infantry_equipment_3 = {
		year = 2266
	
		archetype = infantry_equipment
		parent = ballistic_infantry_equipment_2
		priority = 10
		visual_level = 2
		
		#Defensive Abilities
		defense = 28
		breakthrough = 4

		#Offensive Abilities
		soft_attack = 9
		hard_attack = 1.5
		ap_attack = 5
		air_attack = 0
		
		build_cost_ic = 0.58
		resources = {
			salvage = 3
		}
		
	}
	ballistic_infantry_equipment_4 = {
		year = 2266
	
		archetype = infantry_equipment
		parent = ballistic_infantry_equipment_3
		priority = 10
		visual_level = 2
		
		#Defensive Abilities
		defense = 28
		breakthrough = 4

		#Offensive Abilities
		soft_attack = 9
		hard_attack = 1.5
		ap_attack = 5
		air_attack = 0
		
		build_cost_ic = 0.58
		resources = {
			salvage = 3
		}
		
	}

	bladed_infantry_equipment = {
		year = 2266
	
		archetype = infantry_equipment
		active = yes
		priority = 05
		visual_level = 0
	}

	musket_infantry_equipment_1 = {
		year = 2266
	
		archetype = infantry_equipment
		parent = bladed_infantry_equipment
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 22
		breakthrough = 3

		#Offensive Abilities
		soft_attack = 6
		hard_attack = 1
		ap_attack = 4
		air_attack = 0

		build_cost_ic = 0.50
	}

	muzzle_loader_infantry_equipment_1 = {
		year = 2266
	
		archetype = infantry_equipment
		parent = musket_infantry_equipment_1
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 22
		breakthrough = 3

		#Offensive Abilities
		soft_attack = 6
		hard_attack = 1
		ap_attack = 4
		air_attack = 0

		build_cost_ic = 0.50
	}

	muzzle_loader_infantry_equipment_2 = {
		year = 2266
	
		archetype = infantry_equipment
		parent = muzzle_loader_infantry_equipment_1
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 22
		breakthrough = 3

		#Offensive Abilities
		soft_attack = 6
		hard_attack = 1
		ap_attack = 4
		air_attack = 0

		build_cost_ic = 0.50
	}
}
